idx_train,path_img,label
0,images/bc7696f4-1460-4d0b-a63d-f84b3be4da0f.jpeg,0
1,images/f8d50663-60d8-4da5-a8b8-79f954aec503.jpeg,2
2,images/51df0f29-758b-4741-ab74-a0ff8e21c044.jpeg,4
3,images/f61b81d3-3b79-4162-b4d6-4f1b39518c4c.jpeg,0
4,images/b21e0668-bd09-4794-9e90-da8ecffc4c1c.jpeg,0
5,images/f74f3501-44a6-4fc5-8f5f-01abe6842420.jpeg,0
6,images/f51e365c-9b0f-4970-bbb3-39d3c64c792b.jpeg,7
7,images/fe812603-2692-4d1a-b58a-958e97618777.jpeg,5
8,images/73fbfb96-09cc-469b-b84c-f63ae29a8832.jpeg,2
9,images/5bdcc4be-9512-4534-afb6-6af732950242.jpeg,1
10,images/123c45e3-9248-404e-978c-6473aa220476.jpeg,6
11,images/5c5cf908-4cc8-4d29-8425-eb108d47ef57.jpeg,6
12,images/5b54c9e3-9b71-4326-af10-803635e87a62.jpeg,0
13,images/776b291b-3780-4b2a-8ff8-8811de92dd71.jpeg,2
14,images/4b498a73-21f5-46ba-b3d8-940c8505d8f2.jpeg,2
15,images/f682a803-c324-4952-ba2e-3fe3a7fcc0f1.jpeg,3
16,images/d5589cea-34be-475f-8836-1dc08007f4b1.jpeg,3
17,images/a9e1ef1c-c5c7-4d5e-a07d-6376a975683c.jpeg,7
18,images/5f4ac514-4624-4bf2-a6bf-9b860c9cdaf5.jpeg,5
19,images/9c66e382-01e8-4fd9-a936-b18e9d46537f.jpeg,6
20,images/e6b9a257-ca48-41f2-95bf-b512726974df.jpeg,5
21,images/bb8ee4e3-c64e-444c-a2c9-21905b5ba8e3.jpeg,5
22,images/4e8faf0d-7fd0-43d6-9af0-9317d9961d21.jpeg,7
23,images/51b6a15c-a1b8-4142-925c-6fe93d3ed9bb.jpeg,5
24,images/c9c1b968-09ef-438a-9e69-9cd7dad4aa24.jpeg,5
25,images/b5bdb599-0383-4e3c-a0ee-00ebb6650caa.jpeg,6
26,images/9f93a239-fcce-4fac-b56d-558499bc0bc6.jpeg,7
27,images/5caf13d5-0ef1-4aa1-94bc-710f8222af44.jpeg,0
28,images/c7db2244-fde4-4bed-af6d-3fc572f0f92b.jpeg,5
29,images/6cfdc485-3d91-4cc0-a22a-08f9956f5bfe.jpeg,6
30,images/254a08d5-1d46-4f04-bee4-ee4251db178e.jpeg,0
31,images/5622804d-5120-4c8c-b185-36ec9fe6f103.jpeg,3
32,images/1fc3c8db-b939-4181-99a6-3649c5012db4.jpeg,2
33,images/92569869-069a-488a-80c6-47357a185abb.jpeg,5
34,images/710c523f-bad4-46f9-835b-4281c3266344.jpeg,4
35,images/88a258c3-499b-40e1-b1ce-853ce4bb0db3.jpeg,1
