Time,train_idx,Open,High,Low,Close,Volume,label
2007-03-07,0.0,1.31258,1.31844,1.31086,1.31648,1807377.0,0.0
2007-03-08,1.0,1.31667,1.31813,1.31154,1.31396,1995920.0,1.0
2007-03-09,2.0,1.31396,1.31583,1.30864,1.31118,1859100.0,1.0
2007-03-10,,,1.297537888900021,1.2871047629290606,1.297537888900021,279384.30225350114,
2007-03-11,3.0,1.31236,1.31415,1.31068,1.31175,192381.0,1.0
2007-03-12,4.0,1.31193,1.31992,1.31054,1.31992,2009286.0,1.0
2007-03-13,5.0,1.31811,1.32186,1.31547,1.31927,2003765.0,1.0
2007-03-14,6.0,1.3192,1.3244,1.31764,1.32238,2024020.0,1.0
2007-03-15,7.0,1.3224,1.32933,1.31919,1.3288,2003868.0,1.0
2007-03-16,8.0,1.3287,1.33381,1.32792,1.33106,1804041.0,1.0
2007-03-17,,1.330102857142857,1.297537888900021,1.2871047629290606,1.3331133333333332,279384.30225350114,
2007-03-18,9.0,1.33064,1.33241,1.33064,1.33204,186953.0,1.0
2007-03-19,10.0,1.33206,1.33213,1.3278,1.33037,2029661.0,1.0
2007-03-20,11.0,1.33035,1.33232,1.32701,1.33113,2693602.0,0.0
2007-03-21,12.0,1.33128,1.34094,1.32861,1.33947,2675922.0,0.0
2007-03-22,13.0,1.33954,1.33979,1.3309,1.33241,2670632.0,1.0
2007-03-23,14.0,1.3323,1.3183075708216476,1.295013265969552,1.32789,2425093.0,1.0
2007-03-24,,1.3348425000000002,1.297537888900021,1.2871047629290606,1.32914375,279384.30225350114,
2007-03-25,15.0,1.32801,1.32933,1.32571,1.32689,206877.0,1.0
2007-03-26,16.0,1.32703,1.33455,1.32534,1.33268,632612.0,0.0
2007-03-27,17.0,1.33272,1.33667,1.33013,1.33386,612785.0,1.0
2007-03-28,18.0,1.33395,1.33716,1.32984,1.3311,627257.0,1.0
2007-03-29,19.0,1.3311,1.33517,1.33024,1.33244,632010.0,1.0
2007-03-30,20.0,1.33155,1.33985,1.3288,1.33535,881928.0,0.0
2007-03-31,,1.3315275,1.297537888900021,1.2871047629290606,1.33447125,279384.30225350114,
2007-04-01,21.0,1.3371,1.3377,1.33312,1.33402,83435.0,1.0
2007-04-02,22.0,1.33398,1.33802,1.3337,1.33663,1083419.0,1.0
2007-04-03,23.0,1.33663,1.33802,1.33179,1.3335,1091930.0,1.0
2007-04-04,24.0,1.3335,1.3381,1.3327,1.3372,1055743.0,0.0
2007-04-05,25.0,1.3372,1.3441,1.33525,1.34225,279384.3022881301,0.0
